Offence_Month,Rego_State,Clt_Catg,Camera_Type,Location_Code,Location_Desc,Offence_Desc,Sum_Pen_Amt,Sum_Inf_Count,Sum_With_Amt,Sum_With_Count
Mar-22,ACT,Diplomatic,FIXED ONLY SPEED CAMERA,1035,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS SOUTHBOUND,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-school zone exceed speed limit by <= 15km/h,602,2,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,3048,BLAMEY CRESCENT - CANBERRA GRAMMAR SCHOOL NORTH SIDE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,230,JOHN GORTON DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,3016,MUGGA WAY CANBERRA BOYS GRAMMAR,20 School Zone  Exceed Speed Limit By <= 15 Km/H,975,3,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,3038,COWPER STREET DARAMALAN COLLEGE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,325,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,3014,JERRABOMBERRA AVE NARRABUNDAH COLLEGE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,325,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,251,CASWELL DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,1,ADELAIDE AVENUE,20 Non-school zone exceed speed limit by <= 15km/h,1566,2,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,93,SOUTHERN CROSS DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,MOBILE SPEED CAMERA,111,LIMESTONE AVENUE,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,444,1,0,0
Mar-22,ACT,Diplomatic,POINT TO POINT CAMERA,2004,HINDMARSH DRIVE EASTBOUND BETWEEN PALMER STREET AND DALRYMPLE STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1001,NORTHBOURNE AVENUE/LONDON CIRCUIT,20 Non-school zone exceed speed limit by <= 15km/h,5841,13,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,982,2,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1022,HINDMARSH DRIVE/BALL STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,491,1,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,20 Non-school zone exceed speed limit by <= 15km/h,1505,5,0,0
Mar-22,ACT,Diplomatic,RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,20 Non-school zone exceed speed limit by <= 15km/h,1505,5,0,0
Mar-22,ACT,Embassy Staff - Privilege,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Embassy Staff - Privilege,FIXED ONLY SPEED CAMERA,1034,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS NORTHBOUND,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Embassy Staff - Privilege,MOBILE SPEED CAMERA,130,CHEWINGS STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Embassy Staff - Privilege,POINT TO POINT CAMERA,2002,HINDMARSH DRIVE WESTBOUND BETWEEN MUGGA LANE AND TYAGARAH STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Embassy Staff - Privilege,POINT TO POINT CAMERA,2004,HINDMARSH DRIVE EASTBOUND BETWEEN PALMER STREET AND DALRYMPLE STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Embassy Staff - Privilege,RED LIGHT AND SPEED CAMERA,1001,NORTHBOURNE AVENUE/LONDON CIRCUIT,20 Non-school zone exceed speed limit by <= 15km/h,1505,5,0,0
Mar-22,ACT,Embassy Staff - Privilege,RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Embassy Staff - Privilege,RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,491,1,0,0
Mar-22,ACT,Embassy Staff - Privilege,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,20 Non-school zone exceed speed limit by <= 15km/h,301,1,0,0
Mar-22,ACT,Government Client,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,1265,1
Mar-22,ACT,Government Client,FIXED ONLY SPEED CAMERA,1032,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,1980,1,0,0
Mar-22,ACT,Government Client,FIXED ONLY SPEED CAMERA,1029,MONARO HIGHWAY BETWEEN MUGGA LANE AND ISABELLA DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,1265,1
Mar-22,ACT,Government Client,FIXED ONLY SPEED CAMERA,1028,MONARO HIGHWAY BETWEEN LANYON DRIVE AND SHEPPARD STREET,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,0,0,1950,1
Mar-22,ACT,Government Client,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,0,0,3260,1
Mar-22,ACT,Government Client,FIXED ONLY SPEED CAMERA,1033,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,20 Non-school zone exceed speed limit by <= 15km/h,0,0,1265,1
Mar-22,ACT,Government Client,MOBILE SPEED CAMERA,3016,MUGGA WAY CANBERRA BOYS GRAMMAR,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,Government Client,MOBILE SPEED CAMERA,112,COPLAND DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,Government Client,MOBILE SPEED CAMERA,3002,THE VALLEY AVENUE - BURGMANN ANGLICAN SCHOOL,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,Government Client,MOBILE SPEED CAMERA,20,MONARO HIGHWAY,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,Government Client,POINT TO POINT CAMERA,2002,HINDMARSH DRIVE WESTBOUND BETWEEN MUGGA LANE AND TYAGARAH STREET,20 Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,3260,1,0,0
Mar-22,ACT,Government Client,RED LIGHT AND SPEED CAMERA,1024,CANBERRA AVENUE/CAPTAIN COOK CRESCENT/MANUKA CIRCLE,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,6645,3,0,0
Mar-22,ACT,Government Client,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,20 Non-school zone exceed speed limit by <= 15km/h,5060,4,0,0
Mar-22,ACT,Government Client,RED LIGHT AND SPEED CAMERA,1001,NORTHBOURNE AVENUE/LONDON CIRCUIT,20 Non-school zone exceed speed limit by <= 15km/h,3795,3,0,0
Mar-22,ACT,Government Client,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,2215,1,0,0
Mar-22,ACT,Government Client,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,0,0,2215,1
Mar-22,ACT,Government Client,RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,20 Non-school zone exceed speed limit by <= 15km/h,7590,6,2530,2
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1030,FEDERAL HIGHWAY BETWEEN ZELLING STREET AND ANTILL STREET,20 Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,0,0,3260,1
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1028,MONARO HIGHWAY BETWEEN LANYON DRIVE AND SHEPPARD STREET,20 Non-school zone exceed speed limit by <= 15km/h,3795,3,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1026,BARTON HIGHWAY BETWEEN CURRAN DRIVE AND GOLD CREEK ROAD,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1033,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,20 Non-school zone exceed speed limit by <= 15km/h,3795,3,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1034,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS NORTHBOUND,20 Non-school zone exceed speed limit by <= 15km/h,3795,3,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,1980,1,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1035,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS SOUTHBOUND,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1031,FEDERAL HIGHWAY BETWEEN ANTILL STREET AND MAJURA ROAD,20 Non-school zone exceed speed limit by <= 15km/h,2530,2,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1031,FEDERAL HIGHWAY BETWEEN ANTILL STREET AND MAJURA ROAD,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,3960,2,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-school zone exceed speed limit by <= 15km/h,6325,5,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1030,FEDERAL HIGHWAY BETWEEN ZELLING STREET AND ANTILL STREET,20 Non-school zone exceed speed limit by <= 15km/h,3795,3,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1030,FEDERAL HIGHWAY BETWEEN ZELLING STREET AND ANTILL STREET,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,1980,1,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1029,MONARO HIGHWAY BETWEEN MUGGA LANE AND ISABELLA DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,5060,4,0,0
Mar-22,ACT,OTHER ORGN,FIXED ONLY SPEED CAMERA,1032,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,119,HORSE PARK DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,3795,3,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,187,PIALLIGO AVENUE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3000,COLLEGE STREET - RADFORD COLLEGE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,2770,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3007,MAJURA AVENUE - NORTH AINSLIE PRIMARY SCHOOL,20 School Zone  Exceed Speed Limit By <= 15 Km/H,2770,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,55,ATHLLON DRIVE,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,1980,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3068,ERLDUNDA CCT HAWKER HAWKER PRIMARY,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,230,JOHN GORTON DRIVE,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,3960,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,2,ANTILL STREET,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,53,GOYDER STREET,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3030,KELLEWAY AVE GOLD CREEK HIGH,20 School Zone  Exceed Speed Limit By <= 15 Km/H,2770,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3043,PERRY DRIVE CHAPMAN PRIMARY,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,106,WILLIAM WEBB DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,260,OVERALL AVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,5,BOWEN DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,13,HINDMARSH DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,2530,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,22,NORTHBOURNE AVENUE,20 Non-school zone exceed speed limit by <= 15km/h,2530,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3047,CHAUVEL STREET - CAMPBELL PRIMARY,20 School Zone  Exceed Speed Limit By <= 15 Km/H,2770,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3025,ELLERSTON AVE ISABELLA PLAINS PRIMARY,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3039,DONALDSON STREET AINSLIE SCHOOL,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3016,MUGGA WAY CANBERRA BOYS GRAMMAR,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,81,WILLIAM HOVELL DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,102,FAIRBAIRN AVENUE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,116,ASHLEY DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3014,JERRABOMBERRA AVE NARRABUNDAH COLLEGE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,4155,3,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,55,ATHLLON DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,56,ATHLLON DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,200,BALDWIN DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,73,MUGGA LANE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,61,BARTON HIGHWAY,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3014,JERRABOMBERRA AVE NARRABUNDAH COLLEGE,20 School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,2180,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,207,FAIRFAX STREET,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,230,JOHN GORTON DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,3795,3,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3048,BLAMEY CRESCENT - CANBERRA GRAMMAR SCHOOL NORTH SIDE,20 School Zone  Exceed Speed Limit By <= 15 Km/H,1385,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3076,KOOTARA CRESCENT NARRABUNDAH EARLY CHILDHOOD SCHOOL,20 School Zone  Exceed Speed Limit By <= 15 Km/H,2770,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,3054,COVENANT CHRISTIAN SCHOOL WOODCOCK DRIVE GORDON,20 School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,2180,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,166,BEASLEY STREET,20 Non-school zone exceed speed limit by <= 15km/h,2530,2,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,72,MONARO HIGHWAY,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,MOBILE SPEED CAMERA,112,COPLAND DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,POINT TO POINT CAMERA,2004,HINDMARSH DRIVE EASTBOUND BETWEEN PALMER STREET AND DALRYMPLE STREET,20 Non-school zone exceed speed limit by <= 15km/h,7590,6,0,0
Mar-22,ACT,OTHER ORGN,POINT TO POINT CAMERA,2002,HINDMARSH DRIVE WESTBOUND BETWEEN MUGGA LANE AND TYAGARAH STREET,20 Non-school zone exceed speed limit by <= 15km/h,24035,19,0,0
Mar-22,ACT,OTHER ORGN,POINT TO POINT CAMERA,2002,HINDMARSH DRIVE WESTBOUND BETWEEN MUGGA LANE AND TYAGARAH STREET,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,1980,1,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1024,CANBERRA AVENUE/CAPTAIN COOK CRESCENT/MANUKA CIRCLE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,2215,1,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1020,BARRY DRIVE/MARCUS CLARKE STREET,20 Non-school zone exceed speed limit by <= 15km/h,31625,25,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1006,NORTHBOURNE AVENUE/ANTILL STREET/MOUAT STREET,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1001,NORTHBOURNE AVENUE/LONDON CIRCUIT,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,3960,2,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,3960,2,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1006,NORTHBOURNE AVENUE/ANTILL STREET/MOUAT STREET,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,2215,1,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1007,GINNINDERRA DRIVE/AIKMAN DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1022,HINDMARSH DRIVE/BALL STREET,20 Non-school zone exceed speed limit by <= 15km/h,1265,1,0,0
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,20 Non-school zone exceed speed limit by <= 15km/h,54395,43,1265,1
Mar-22,ACT,OTHER ORGN,RED LIGHT AND SPEED CAMERA,1001,NORTHBOURNE AVENUE/LONDON CIRCUIT,20 Non-school zone exceed speed limit by <= 15km/h,92345,73,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1035,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS SOUTHBOUND,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,444,1,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,1776,4,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1029,MONARO HIGHWAY BETWEEN MUGGA LANE AND ISABELLA DRIVE,20 Non-School Zone Exceed Speed Limit By > 45 Km/H,1841,1,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1031,FEDERAL HIGHWAY BETWEEN ANTILL STREET AND MAJURA ROAD,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,888,2,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1033,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,20 Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,700,1,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1026,BARTON HIGHWAY BETWEEN CURRAN DRIVE AND GOLD CREEK ROAD,20 Non-school zone exceed speed limit by <= 15km/h,27692,92,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-school zone exceed speed limit by <= 15km/h,38227,127,1188,4
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1029,MONARO HIGHWAY BETWEEN MUGGA LANE AND ISABELLA DRIVE,20 Non-school zone exceed speed limit by <= 15km/h,22575,75,594,2
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1034,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS NORTHBOUND,20 Non-school zone exceed speed limit by <= 15km/h,13244,44,598,2
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1032,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,20 Non-school zone exceed speed limit by <= 15km/h,6923,23,297,1
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1032,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,20 Non-School Zone Exceed Speed Limit By > 45 Km/H,1841,1,1841,1
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1035,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS SOUTHBOUND,20 Non-School Zone Exceed Speed Limit By > 45 Km/H,1841,1,1841,1
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1028,MONARO HIGHWAY BETWEEN LANYON DRIVE AND SHEPPARD STREET,20 Non-school zone exceed speed limit by <= 15km/h,24080,80,297,1
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1029,MONARO HIGHWAY BETWEEN MUGGA LANE AND ISABELLA DRIVE,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,888,2,438,1
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1030,FEDERAL HIGHWAY BETWEEN ZELLING STREET AND ANTILL STREET,20 Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,700,1,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1031,FEDERAL HIGHWAY BETWEEN ANTILL STREET AND MAJURA ROAD,20 Non-school zone exceed speed limit by <= 15km/h,8428,28,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1033,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,20 Non-school zone exceed speed limit by <= 15km/h,12341,41,297,1
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1034,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS NORTHBOUND,20 Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,1332,3,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1035,TUGGERANONG PARKWAY NEAR COTTER ROAD OVERPASS SOUTHBOUND,20 Non-school zone exceed speed limit by <= 15km/h,3010,10,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,1400,2,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,20 Non-School Zone Exceed Speed Limit By > 45 Km/H,1841,1,0,0
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1030,FEDERAL HIGHWAY BETWEEN ZELLING STREET AND ANTILL STREET,20 Non-school zone exceed speed limit by <= 15km/h,10535,35,297,1
Mar-22,ACT,OTHER PRSN,FIXED ONLY SPEED CAMERA,1030,FEDERAL HIGHWAY BETWEEN ZELLING STREET AND ANTILL STREET,20 Non-School Zone Exceed Speed Limit By > 45 Km/H,1841,1,0,0
